Well.names,Area,Drug
D09,382,20(S
D08,207,20(S
D09,71,20(S
D09,267,20(S
D07,178,20(S
D07,403,20(S
D09,317,20(S
D07,139,20(S
D07,184,20(S
D09,436,20(S
D09,362,20(S
D09,225,20(S
D08,128,20(S
D08,805,20(S
D07,597,20(S
D07,435,20(S
D07,128,20(S
D08,373,20(S
D08,287,20(S
D09,370,20(S
D09,414,20(S
D09,99,20(S
D09,218,20(S
D08,423,20(S
D07,168,20(S
D08,349,20(S
D08,225,20(S
D08,85,20(S
D08,1813,20(S
D08,186,20(S
D08,127,20(S
D07,719,20(S
D07,1058,20(S
D07,538,20(S
D09,127,20(S
D09,282,20(S
D07,215,20(S
D08,526,20(S
D07,527,20(S
D07,1071,20(S
D09,754,20(S
D09,458,20(S
D07,63,20(S
D08,415,20(S
D09,90,20(S
D09,1684,20(S
D07,276,20(S
D09,96,20(S
D09,221,20(S
D07,418,20(S
D09,1060,20(S
D07,630,20(S
D08,325,20(S
D09,634,20(S
D07,223,20(S
D08,79,20(S
D09,313,20(S
D09,399,20(S
D09,680,20(S
D09,312,20(S
D09,646,20(S
D08,112,20(S
D08,252,20(S
D09,645,20(S
D08,776,20(S
D09,199,20(S
D09,749,20(S
D07,435,20(S
D09,415,20(S
D09,718,20(S
D09,222,20(S
D09,197,20(S
D07,142,20(S
D08,2514,20(S
D08,1142,20(S
D09,365,20(S
D07,3103,20(S
D09,363,20(S
D09,386,20(S
D08,2310,20(S
D07,512,20(S
D07,170,20(S
D07,2544,20(S
D07,677,20(S
D08,1196,20(S
D08,1169,20(S
D08,2568,20(S
D07,574,20(S
D09,620,20(S
D08,115,20(S
D07,464,20(S
D09,608,20(S
D07,657,20(S
D07,728,20(S
D07,97,20(S
D09,303,20(S
D09,476,20(S
D09,343,20(S
D08,491,20(S
D09,76,20(S
D07,3028,20(S
D07,287,20(S
D07,279,20(S
D07,250,20(S
D07,638,20(S
D09,549,20(S
D07,855,20(S
D08,537,20(S
D08,212,20(S
D09,230,20(S
D09,232,20(S
D08,224,20(S
D07,268,20(S
D08,405,20(S
D08,195,20(S
D08,316,20(S
D08,69,20(S
D09,349,20(S
D09,317,20(S
D09,66,20(S
D07,402,20(S
D07,954,20(S
D09,102,20(S
D09,920,20(S
D09,242,20(S
D08,702,20(S
D07,643,20(S
D07,290,20(S
D08,126,20(S
D09,468,20(S
D07,182,20(S
D07,362,20(S
D08,68,20(S
D09,529,20(S
D09,952,20(S
D07,528,20(S
D08,231,20(S
D09,154,20(S
D08,195,20(S
D08,721,20(S
D07,273,20(S
D08,389,20(S
D07,634,20(S
D07,323,20(S
D07,323,20(S
D08,728,20(S
D08,502,20(S
D09,428,20(S
D08,170,20(S
D09,528,20(S
D08,105,20(S
D07,170,20(S
D09,108,20(S
D07,716,20(S
D09,280,20(S
D09,430,20(S
D09,160,20(S
D09,250,20(S
D08,710,20(S
D09,309,20(S
D07,704,20(S
D07,508,20(S
D08,122,20(S
D09,2071,20(S
D09,430,20(S
D07,241,20(S
D08,423,20(S
D07,354,20(S
D07,455,20(S
D08,104,20(S
D09,110,20(S
D09,441,20(S
D07,353,20(S
D07,176,20(S
D08,502,20(S
D07,298,20(S
D07,543,20(S
D09,309,20(S
D09,3299,20(S
D09,278,20(S
D09,97,20(S
D07,265,20(S
D07,1448,20(S
D09,538,20(S
D09,1134,20(S
D08,546,20(S
D08,223,20(S
D08,479,20(S
D07,187,20(S
D09,175,20(S
D09,544,20(S
D08,58,20(S
D07,272,20(S
D09,321,20(S
D09,797,20(S
D07,589,20(S
D09,1245,20(S
D07,610,20(S
D09,190,20(S
D09,225,20(S
D07,193,20(S
D07,787,20(S
D09,343,20(S
D08,380,20(S
D08,107,20(S
D07,261,20(S
D09,63,20(S
D09,159,20(S
D08,338,20(S
D09,197,20(S
D07,503,20(S
D08,538,20(S
D07,612,20(S
D09,303,20(S
D08,879,20(S
D07,240,20(S
D09,540,20(S
D08,258,20(S
D09,350,20(S
D08,525,20(S
D08,265,20(S
D09,275,20(S
D09,481,20(S
D08,455,20(S
D07,262,20(S
